,SourceID,RA,Dec,file_loc
176,COS_15809,150.1918,2.3687720000000003,/media/team_workspaces/astronomaly-project/images/18k-sample/COS_15809.jpeg
177,AHZ2000jm1,150.1888597,2.0206626,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000jm1.jpeg
178,4000709691989,109.3855442,37.740368100000005,/media/team_workspaces/astronomaly-project/images/18k-sample/4000709691989.jpeg
179,4557177904,197.8505196,-1.3484546999999998,/media/team_workspaces/astronomaly-project/images/18k-sample/4557177904.jpeg
180,4556354685,197.8850151,-1.3208151,/media/team_workspaces/astronomaly-project/images/18k-sample/4556354685.jpeg
181,19070148,,,/media/team_workspaces/astronomaly-project/images/18k-sample/19070148.jpeg
182,4000710658507,11.485649,42.151221500000005,/media/team_workspaces/astronomaly-project/images/18k-sample/4000710658507.jpeg
183,AHZ2000uwl,149.5451985,2.1721008,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000uwl_300_300_3.jpeg
184,AHZ2001i46,149.943858,2.674233,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001i46_300_300_3.jpeg
185,AHZ2000owg,150.5596941,2.1361532,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000owg_300_300_3.jpeg
186,AHZ2001juy,149.5896227,2.6945432,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001juy_300_300_3.jpeg
187,6000535781579,150.4235888,2.5829863,/media/team_workspaces/astronomaly-project/images/18k-sample/6000535781579.jpeg
188,AHZ2001bne,149.6116151,2.5354841,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001bne.jpeg
189,83653120,,,/media/team_workspaces/astronomaly-project/images/18k-sample/83653120.jpeg
190,AGZ00080d0,189.26264740000002,62.3158746,/media/team_workspaces/astronomaly-project/images/18k-sample/AGZ00080d0.jpeg
191,4000707167813,11.5328069,42.1226339,/media/team_workspaces/astronomaly-project/images/18k-sample/4000707167813.jpeg
192,AHZ2001nmx,149.7768701,1.9610106,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001nmx_300_300_3.jpeg
193,AHZ40003ao,52.9970557,-27.7671761,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ40003ao_300_300_3.jpeg
194,AHZ2000j01,150.1537027,2.063602,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000j01_300_300_3.jpeg
195,AHZ2000g4x,150.7064676,1.9756011,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000g4x_300_300_3.jpeg
196,4000713489624,11.5322931,42.1714575,/media/team_workspaces/astronomaly-project/images/18k-sample/4000713489624.jpeg
197,4553082555,9.2742718,9.1628175,/media/team_workspaces/astronomaly-project/images/18k-sample/4553082555.jpeg
198,AHZ2000d82,149.83452169999998,1.9232181000000002,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000d82.jpeg
199,4176788287,156.05137,-57.7566275,/media/team_workspaces/astronomaly-project/images/18k-sample/4176788287.jpeg
200,AHZ2001o7f,149.9553244,2.5030482000000003,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001o7f.jpeg
201,AGZ00081u9,189.4355314,62.2210955,/media/team_workspaces/astronomaly-project/images/18k-sample/AGZ00081u9.jpeg
202,AHZ2001hr6,149.9860295,2.6323505,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001hr6_300_300_3.jpeg
203,AHZ2000ah8,150.3857608,1.8826936,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000ah8_300_300_3.jpeg
204,AHZ20014md,150.6770765,2.5316967999999997,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20014md.jpeg
205,71934046,,,/media/team_workspaces/astronomaly-project/images/18k-sample/71934046.jpeg
206,4000712954065,11.4249115,42.0161953,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712954065.jpeg
