,SourceID,reps_x,reps_y,file_loc
143,4177572076,7.0451474,12.152027,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4177572076.jpeg
144,COS_3617,5.4301825,8.676522,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/COS_3617.jpeg
145,AHZ2001rmt,-0.8422811,11.870063,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001rmt_300_300_3.jpeg
146,AHZ2001a2g,-2.9090376,11.070743,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001a2g_300_300_3.jpeg
147,AHZ2001ebg,2.476496,7.5599685,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001ebg_300_300_3.jpeg
148,4110460963,5.825783,12.189434,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4110460963.jpeg
149,AHZ40002ll,-3.8886602,7.3731246,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ40002ll_300_300_3.jpeg
150,4000710666705,10.661112,10.967176,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000710666705.jpeg
151,94067140,7.1671147,10.970038,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/94067140.jpeg
152,AHZ2001qi9,-1.1936071,8.168049,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001qi9_300_300_3.jpeg
153,4000712860863,10.824989,9.60725,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000712860863.jpeg
154,AHZ2001gd8,0.48505333,11.381173,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001gd8_300_300_3.jpeg
155,AHZ2000ty9,-3.3459716,11.2441025,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000ty9_300_300_3.jpeg
156,AHZ2000aq0,-1.2182117,14.189674,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000aq0.jpeg
157,AHZ2000hmu,-0.52737546,8.638791,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000hmu_300_300_3.jpeg
158,4000712889217,10.484514,10.189134,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000712889217.jpeg
159,4000712977990,11.703526,10.464152,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000712977990.jpeg
160,AHZ2000ays,-4.3054085,10.431173,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000ays_300_300_3.jpeg
161,4000712883435,11.056535,12.114719,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000712883435.jpeg
162,AHZ2001pwr,5.426319,9.57577,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001pwr.jpeg
163,4504617970,4.9366937,12.741413,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4504617970.jpeg
164,4000710649213,11.424808,10.00877,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000710649213.jpeg
165,4000707178859,10.456185,10.618446,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000707178859.jpeg
166,16607341,-0.49817207,12.9318075,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/16607341.jpeg
167,AHZ40003so,-3.932222,7.938004,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ40003so_300_300_3.jpeg
168,AHZ2000w29,-0.33004674,8.569528,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000w29.jpeg
169,13846920,5.941792,8.031388,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/13846920.jpeg
170,AHZ2000szf,-0.92906547,7.4528446,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000szf_300_300_3.jpeg
171,4000710646309,10.073261,9.951027,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000710646309.jpeg
172,AHZ2001bjs,-3.7954006,11.798621,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001bjs_300_300_3.jpeg
173,4606967776,1.9604512,5.480488,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4606967776.jpeg
174,4177570180,5.87359,11.882979,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4177570180.jpeg
175,41304420,6.6872125,11.331933,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/41304420.jpeg
176,COS_15809,-0.010819932,4.451791,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/COS_15809.jpeg
177,AHZ2000jm1,-4.810441,9.536479,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000jm1.jpeg
178,4000709691989,-2.320287,9.6795635,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000709691989.jpeg
179,4557177904,-2.2083607,10.487712,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4557177904.jpeg
180,4556354685,-1.4127574,8.950617,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4556354685.jpeg
181,19070148,1.6864318,11.81966,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/19070148.jpeg
182,4000710658507,11.70542,11.303608,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000710658507.jpeg
183,AHZ2000uwl,-0.84432644,6.637194,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000uwl_300_300_3.jpeg
184,AHZ2001i46,-4.2604103,7.17267,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001i46_300_300_3.jpeg
185,AHZ2000owg,-1.1039692,8.65574,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000owg_300_300_3.jpeg
